"ACCIDENTID","ACCIDENTZONE","CAR_DAMAGE_SEVERITY","ERRORCODE"
A632,ZoneA,No damage,Error002
A633,ZoneB,No damage,Error002
A634,ZoneB,Severe damage,Error001
A635,ZoneD,Severe damage,Error001
A636,ZoneC,Severe damage,Error005
A637,ZoneA,Very minor damage,Error004
A638,ZoneC,No damage,Error002
A639,ZoneC,No damage,Error002
A640,ZoneC,No damage,Error002
A641,ZoneB,No damage,Error002
A642,ZoneA,No damage,Error002
A643,ZoneB,Moderate damage,Error004
A644,ZoneA,Minor damage,Error004
A645,ZoneD,No damage,Error002
A646,ZoneD,No damage,Error002
A647,ZoneD,No damage,Error002
A648,ZoneB,No damage,Error002
A649,ZoneB,Severe damage,Error003
A650,ZoneA,Severe damage,Error004
A651,ZoneA,Very minor damage,Error004
A652,ZoneB,Severe damage,Error001
A653,ZoneA,Very minor damage,Error003
A654,ZoneC,Minor damage,Error005
A655,ZoneB,No damage,Error002
A656,ZoneD,Moderate damage,Error001
A657,ZoneC,Very minor damage,Error005
A658,ZoneC,Minor damage,Error004
A659,ZoneA,No damage,Error002
A660,ZoneC,Severe damage,Error005
A661,ZoneC,Moderate damage,Error003
A662,ZoneC,Severe damage,Error001
A663,ZoneD,Minor damage,Error001
A665,ZoneA,Severe damage,Error004
A666,ZoneA,Moderate damage,Error004
A667,ZoneB,Moderate damage,Error003
A668,ZoneC,No damage,Error002
A669,ZoneD,No damage,Error002
A670,ZoneA,No damage,Error002
A671,ZoneD,No damage,Error002
A672,ZoneC,Minor damage,Error003
A673,ZoneD,Severe damage,Error003
A674,ZoneD,Moderate damage,Error005
A675,ZoneA,Moderate damage,Error005
A676,ZoneD,Very minor damage,Error001
A677,ZoneC,Moderate damage,Error004
A678,ZoneC,No damage,Error002
A679,ZoneB,Severe damage,Error004
A680,ZoneB,Severe damage,Error004
A681,ZoneC,Severe damage,Error004
A682,ZoneC,No damage,Error002
A683,ZoneD,Minor damage,Error005
A684,ZoneC,Severe damage,Error001
A685,ZoneC,Very minor damage,Error001
A686,ZoneB,No damage,Error002
A687,ZoneB,Minor damage,Error005
A688,ZoneA,Minor damage,Error001
A689,ZoneD,No damage,Error002
A691,ZoneD,No damage,Error002
A692,ZoneD,Very minor damage,Error005
A693,ZoneA,Minor damage,Error005
A694,ZoneC,Very minor damage,Error005
A695,ZoneB,Minor damage,Error003
A696,ZoneC,Minor damage,Error003
A697,ZoneD,Minor damage,Error001
A698,ZoneC,Very minor damage,Error001
A699,ZoneA,No damage,Error002
A700,ZoneC,Moderate damage,Error004
A701,ZoneD,No damage,Error002
A702,ZoneA,Very minor damage,Error003
A703,ZoneB,Moderate damage,Error001
A704,ZoneD,Very minor damage,Error003
A705,ZoneA,No damage,Error002
A706,ZoneB,No damage,Error002
A707,ZoneB,Minor damage,Error004
A708,ZoneA,Minor damage,Error003
A709,ZoneD,Minor damage,Error004
A710,ZoneB,No damage,Error002
A711,ZoneC,Moderate damage,Error005
A712,ZoneD,Severe damage,Error003
A713,ZoneB,Moderate damage,Error003
A714,ZoneA,Moderate damage,Error001
A715,ZoneA,Moderate damage,Error003
A716,ZoneB,Minor damage,Error001
A717,ZoneC,Minor damage,Error005
A718,ZoneA,Very minor damage,Error004
A719,ZoneA,No damage,Error002
A720,ZoneB,Moderate damage,Error004
A721,ZoneC,Severe damage,Error005
A722,ZoneC,Very minor damage,Error005
A723,ZoneC,Severe damage,Error004
A724,ZoneC,No damage,Error002
A725,ZoneA,No damage,Error002
A726,ZoneD,Severe damage,Error004
A727,ZoneB,No damage,Error002
A728,ZoneC,No damage,Error002
A729,ZoneA,Minor damage,Error005
A730,ZoneB,Very minor damage,Error003
A731,ZoneC,Minor damage,Error003
A732,ZoneC,Very minor damage,Error003
A733,ZoneC,No damage,Error002
A734,ZoneA,Severe damage,Error001
A735,ZoneD,No damage,Error002
A736,ZoneB,Severe damage,Error001
A737,ZoneA,Very minor damage,Error004
A738,ZoneC,Moderate damage,Error005
A739,ZoneB,Very minor damage,Error003
A740,ZoneA,Moderate damage,Error005
A741,ZoneB,Very minor damage,Error005
A742,ZoneD,Minor damage,Error005
A743,ZoneD,No damage,Error002
A744,ZoneD,No damage,Error002
A745,ZoneC,No damage,Error002
A746,ZoneD,No damage,Error002
A747,ZoneA,Severe damage,Error005
A748,ZoneB,Severe damage,Error004
A749,ZoneB,Very minor damage,Error004
A750,ZoneC,Minor damage,Error001
A751,ZoneD,Very minor damage,Error005
A752,ZoneA,Moderate damage,Error005
A753,ZoneA,No damage,Error002
A754,ZoneA,Minor damage,Error003
A755,ZoneD,Severe damage,Error005
A756,ZoneD,Severe damage,Error001
A757,ZoneA,Severe damage,Error004
A758,ZoneC,No damage,Error002
A759,ZoneC,No damage,Error002
A760,ZoneD,No damage,Error002
A761,ZoneB,No damage,Error002
A762,ZoneC,Minor damage,Error004
A763,ZoneD,No damage,Error002
A764,ZoneD,Severe damage,Error001
A765,ZoneA,Moderate damage,Error003
A766,ZoneB,Very minor damage,Error004
A767,ZoneB,No damage,Error002
A768,ZoneD,No damage,Error002
A769,ZoneB,Minor damage,Error005
A770,ZoneC,No damage,Error002
A771,ZoneD,Moderate damage,Error003
A772,ZoneA,No damage,Error002
A773,ZoneB,Minor damage,Error001
A774,ZoneA,Moderate damage,Error005
A775,ZoneD,No damage,Error002
A776,ZoneC,No damage,Error002
A777,ZoneB,Moderate damage,Error004
A778,ZoneB,Very minor damage,Error005
A779,ZoneA,Severe damage,Error004
A780,ZoneC,Minor damage,Error004
A781,ZoneC,Very minor damage,Error005
A782,ZoneA,Minor damage,Error004
A783,ZoneC,Very minor damage,Error005
A784,ZoneA,Moderate damage,Error005
A785,ZoneD,Moderate damage,Error003
A786,ZoneD,Moderate damage,Error004
