"BOOKINGID","REGISTRATIONNO","BOOKINGDATE","DEPARTUREZONE","DESTINATIONZONE","PASSENGERID"
T712,Car03,2016-07-06 17:00:00.000,ZoneC,ZoneC,U093
T713,Car05,2018-04-08 23:00:00.000,ZoneD,ZoneB,U074
T714,Car14,2018-08-20 12:00:00.000,ZoneB,ZoneB,U117
T715,Car12,2019-08-23 15:00:00.000,ZoneA,ZoneB,U057
T716,Car06,2019-01-13 08:00:00.000,ZoneA,ZoneA,U048
T717,Car09,2020-09-12 01:00:00.000,ZoneB,ZoneD,U105
T718,Car03,2017-06-18 14:00:00.000,ZoneC,ZoneC,U109
T719,Car08,2016-09-14 02:00:00.000,ZoneA,ZoneA,U111
T720,Car27,2019-02-25 01:00:00.000,ZoneA,ZoneB,U027
T721,Car11,2018-12-04 03:00:00.000,ZoneB,ZoneD,U019
T722,Car08,2019-10-24 17:00:00.000,ZoneC,ZoneB,U055
T723,Car20,2018-10-17 15:00:00.000,ZoneC,ZoneA,U060
T724,Car12,2015-10-16 18:00:00.000,ZoneC,ZoneB,U013
T725,Car21,2020-11-11 11:00:00.000,ZoneC,ZoneB,U147
T726,Car26,2016-11-26 10:00:00.000,ZoneA,ZoneD,U098
T727,Car15,2018-01-01 06:00:00.000,ZoneD,ZoneD,U013
T728,Car25,2015-08-15 01:00:00.000,ZoneB,ZoneB,U015
T729,Car28,2016-01-11 00:00:00.000,ZoneC,ZoneB,U130
T730,Car06,2018-05-04 09:00:00.000,ZoneA,ZoneB,U126
T731,Car16,2016-01-14 23:00:00.000,ZoneB,ZoneC,U113
T732,Car03,2015-05-13 22:00:00.000,ZoneC,ZoneA,U134
T733,Car18,2021-06-01 18:00:00.000,ZoneC,ZoneB,U094
T734,Car28,2020-10-12 16:00:00.000,ZoneC,ZoneB,U066
T735,Car20,2018-05-13 18:00:00.000,ZoneA,ZoneC,U049
T736,Car22,2021-12-18 08:00:00.000,ZoneD,ZoneB,U136
T737,Car04,2017-05-10 20:00:00.000,ZoneB,ZoneD,U066
T738,Car16,2018-07-28 09:00:00.000,ZoneA,ZoneA,U125
T739,Car20,2020-07-25 02:00:00.000,ZoneC,ZoneA,U136
T740,Car12,2018-10-30 13:00:00.000,ZoneB,ZoneC,U114
T741,Car09,2017-07-04 10:00:00.000,ZoneA,ZoneC,U086
T742,Car18,2017-09-29 07:00:00.000,ZoneB,ZoneA,U019
T743,Car06,2018-12-27 16:00:00.000,ZoneD,ZoneD,U155
T744,Car24,2021-02-11 18:00:00.000,ZoneD,ZoneD,U049
T745,Car22,2019-01-04 14:00:00.000,ZoneD,ZoneB,U032
T746,Car26,2019-10-14 22:00:00.000,ZoneC,ZoneC,U017
T747,Car22,2018-10-07 20:00:00.000,ZoneD,ZoneC,U090
T748,Car08,2015-04-10 19:00:00.000,ZoneA,ZoneD,U102
T749,Car06,2016-08-02 04:00:00.000,ZoneB,ZoneD,U029
T750,Car05,2015-10-11 13:00:00.000,ZoneB,ZoneD,U070
T751,Car04,2019-07-29 10:00:00.000,ZoneC,ZoneC,U093
T752,Car11,2017-09-28 11:00:00.000,ZoneD,ZoneB,U131
T753,Car01,2018-11-25 04:00:00.000,ZoneA,ZoneC,U087
T754,Car24,2017-02-15 06:00:00.000,ZoneA,ZoneB,U118
T755,Car14,2016-04-21 16:00:00.000,ZoneA,ZoneD,U150
T756,Car03,2015-08-14 20:00:00.000,ZoneD,ZoneC,U106
T757,Car01,2021-06-23 15:00:00.000,ZoneD,ZoneD,U142
T758,Car17,2016-01-13 12:00:00.000,ZoneA,ZoneD,U132
T759,Car27,2020-04-16 02:00:00.000,ZoneC,ZoneC,U054
T760,Car27,2021-07-09 01:00:00.000,ZoneC,ZoneD,U160
T761,Car30,2018-12-02 06:00:00.000,ZoneD,ZoneD,U145
T762,Car27,2020-03-19 04:00:00.000,ZoneB,ZoneD,U021
T763,Car10,2020-03-12 07:00:00.000,ZoneC,ZoneA,U024
T764,Car22,2018-05-14 19:00:00.000,ZoneD,ZoneA,U141
T765,Car06,2019-03-16 05:00:00.000,ZoneD,ZoneA,U068
T766,Car07,2017-03-28 22:00:00.000,ZoneA,ZoneC,U083
T767,Car04,2015-04-18 12:00:00.000,ZoneB,ZoneB,U141
T768,Car30,2015-08-18 19:00:00.000,ZoneB,ZoneC,U056
T769,Car27,2019-01-21 11:00:00.000,ZoneD,ZoneD,U096
T770,Car12,2019-10-23 06:00:00.000,ZoneB,ZoneC,U126
T771,Car22,2016-06-14 15:00:00.000,ZoneC,ZoneD,U101
T772,Car06,2018-07-02 18:00:00.000,ZoneD,ZoneA,U135
T773,Car23,2015-01-08 02:00:00.000,ZoneA,ZoneD,U072
T774,Car20,2021-05-10 21:00:00.000,ZoneB,ZoneB,U039
