"REGISTRATIONNO","ACCIDENTID"
Car06,A308
Car14,A309
Car04,A310
Car01,A311
Car24,A312
Car21,A313
Car24,A314
Car24,A315
Car19,A316
Car26,A317
Car02,A318
Car24,A319
Car11,A320
Car11,A321
Car08,A322
Car21,A323
Car30,A324
Car16,A325
Car29,A326
Car26,A327
Car04,A328
Car26,A329
Car10,A330
Car15,A331
Car12,A332
Car15,A333
Car12,A334
Car11,A335
Car17,A336
Car14,A337
Car20,A338
Car08,A339
Car01,A340
Car09,A341
Car28,A342
Car21,A343
Car09,A344
Car08,A136
Car25,A346
Car10,A347
Car28,A348
Car07,A349
Car05,A350
Car24,A351
Car05,A352
Car24,A353
Car03,A354
Car22,A355
Car04,A356
Car27,A249
Car10,A358
Car05,A359
Car22,A360
Car23,A361
Car29,A362
Car08,A363
Car29,A364
Car02,A365
Car06,A366
Car09,A367
Car10,A368
Car09,A369
Car04,A370
Car30,A371
Car19,A372
Car30,A373
Car01,A374
Car07,A375
Car09,A376
Car21,A377
Car09,A378
Car25,A379
Car02,A380
Car06,A381
Car04,A382
Car14,A383
Car17,A384
Car29,A385
Car24,A386
Car06,A387
Car03,A388
Car26,A389
Car23,A390
Car24,A391
Car19,A392
Car06,A393
Car18,A394
Car26,A395
Car25,A396
Car20,A397
Car20,A398
Car16,A399
Car03,A400
Car24,A401
Car08,A402
Car08,A403
Car15,A404
Car22,A405
Car21,A406
Car22,A407
Car17,A408
Car19,A409
Car29,A410
Car29,A411
Car02,A412
Car21,A413
Car26,A414
Car28,A415
Car03,A416
Car30,A417
Car16,A418
Car29,A419
Car27,A420
Car12,A421
Car06,A422
Car14,A423
Car11,A424
Car18,A425
Car08,A426
Car01,A427
Car01,A428
Car21,A429
Car09,A430
Car09,A431
Car30,A432
Car18,A433
Car27,A434
Car14,A435
Car08,A436
Car13,A437
Car18,A438
Car01,A439
Car30,A440
Car15,A441
Car04,A442
Car02,A443
Car09,A444
Car26,A445
Car20,A446
Car07,A447
Car10,A448
Car03,A449
Car08,A450
Car02,A451
Car05,A452
Car10,A453
Car16,A454
Car25,A455
Car22,A456
Car29,A457
Car16,A458
Car26,A459
Car24,A460
Car13,A461
Car07,A462
Car09,A463
Car04,A464
Car04,A465
Car26,A466
Car27,A467
Car05,A468
Car20,A469
Car30,A470
Car07,A471
Car24,A472
Car16,A473
Car19,A474
Car22,A475
Car06,A476
Car28,A477
Car29,A478
Car28,A479
Car19,A480
Car06,A481
Car29,A482
Car07,A483
Car23,A484
Car11,A485
Car17,A486
Car30,A487
Car08,A488
Car15,A489
Car14,A490
Car03,A491
Car13,A492
Car09,A493
Car17,A494
Car05,A495
Car04,A496
Car16,A497
Car18,A498
Car23,A499
Car06,A500
Car21,A501
Car26,A502
Car30,A503
Car09,A504
Car14,A505
Car15,A506
Car21,A507
Car18,A508
Car17,A509
Car23,A510
Car24,A511
Car28,A512
Car22,A513
Car01,A514
Car28,A515
Car01,A516
Car01,A517
Car19,A518
Car22,A519
Car16,A520
Car25,A521
Car11,A522
Car04,A523
Car17,A524
Car09,A525
Car08,A526
Car12,A527
Car02,A528
Car27,A529
Car13,A530
Car28,A531
Car21,A532
Car11,A533
Car30,A534
Car22,A535
Car07,A536
Car29,A537
Car21,A538
Car20,A539
Car06,A540
Car06,A541
Car14,A542
Car22,A543
Car16,A544
Car12,A545
Car23,A546
Car27,A547
Car05,A548
Car01,A549
Car14,A550
Car30,A551
Car23,A552
Car30,A553
Car19,A554
Car11,A555
Car01,A556
Car17,A557
Car09,A558
Car18,A559
Car23,A560
Car16,A561
Car10,A562
Car21,A563
Car14,A564
Car05,A565
Car23,A566
Car27,A567
Car11,A568
Car28,A569
Car21,A570
Car29,A571
Car14,A572
Car23,A573
Car06,A574
Car11,A575
Car20,A576
Car12,A577
Car08,A578
Car16,A579
Car15,A580
Car27,A581
Car27,A582
Car06,A583
Car30,A584
Car10,A585
Car01,A586
Car27,A587
Car26,A588
Car23,A589
Car15,A590
Car19,A591
Car23,A592
Car19,A593
Car19,A594
Car11,A595
Car12,A596
Car13,A597
Car30,A598
Car16,A599
Car01,A600
Car14,A601
Car25,A602
Car12,A603
Car03,A604
Car29,A605
Car14,A606
Car20,A607
Car23,A608
Car01,A609
Car14,A610
Car09,A611
Car13,A612
Car21,A613
Car22,A614
Car26,A615
Car01,A616
Car27,A617
Car14,A618
Car23,A619
Car16,A620
Car14,A621
Car15,A622
Car05,A623
Car20,A624
Car15,A625
Car17,A626
Car27,A311
Car27,A628
Car10,A629
Car28,A630
Car01,A631
Car22,A632
Car23,A633
Car12,A634
Car12,A635
Car08,A636
Car04,A637
Car27,A638
Car30,A639
Car25,A640
Car22,A641
Car22,A642
Car18,A643
Car13,A644
Car26,A645
Car29,A646
Car25,A647
Car26,A648
Car17,A649
Car17,A650
Car13,A651
Car12,A652
Car01,A653
Car11,A654
Car25,A655
Car04,A656
Car04,A657
Car04,A658
Car24,A659
Car20,A660
Car09,A661
Car19,A662
Car06,A663
Car10,A490
Car12,A665
Car12,A666
Car15,A667
Car23,A668
Car25,A669
Car22,A670
Car23,A671
Car10,A672
Car20,A673
Car18,A674
Car20,A675
Car19,A676
Car09,A677
Car27,A678
