"MAINTENANCEID","REGISTRATIONNO","MAINTENANCEDATE","MAINTENANCETYPE","MAINTENANCECOST","TEAMID"
M200,Car18,2015-08-08 00:00:00.000,M002,200,T005
M201,Car14,2018-01-21 00:00:00.000,M001,100,T003
M202,Car10,2020-08-08 00:00:00.000,M004,400,T005
M203,Car01,2021-10-31 00:00:00.000,M002,200,T001
M204,Car03,2016-11-19 00:00:00.000,M001,100,T001
M205,Car24,2017-01-29 00:00:00.000,M003,300,T002
M206,Car26,2019-02-03 00:00:00.000,M001,100,T004
M207,Car06,2021-12-25 00:00:00.000,M005,500,T001
M208,Car13,2016-03-27 00:00:00.000,M005,500,T001
M209,Car08,2020-05-16 00:00:00.000,M002,200,T005
M210,Car08,2015-01-17 00:00:00.000,M005,500,T005
M211,Car23,2018-08-19 00:00:00.000,M004,400,T003
M212,Car11,2015-07-19 00:00:00.000,M001,100,T005
M213,Car22,2018-05-05 00:00:00.000,M005,500,T002
M214,Car21,2015-08-29 00:00:00.000,M001,100,T003
M215,Car22,2017-11-12 00:00:00.000,M005,500,T005
M216,Car29,2015-11-21 00:00:00.000,M005,500,T004
M217,Car20,2016-09-24 00:00:00.000,M002,200,T005
M218,Car02,2020-04-04 00:00:00.000,M005,500,T005
M219,Car17,2016-10-22 00:00:00.000,M001,100,T005
M220,Car21,2018-10-20 00:00:00.000,M003,300,T005
M221,Car01,2016-02-07 00:00:00.000,M003,300,T004
M222,Car16,2015-02-15 00:00:00.000,M003,300,T005
M223,Car22,2021-07-31 00:00:00.000,M001,100,T003
M224,Car29,2018-07-08 00:00:00.000,M004,400,T003
M225,Car08,2015-12-13 00:00:00.000,M005,500,T003
M226,Car24,2020-04-19 00:00:00.000,M001,100,T001
M227,Car13,2019-09-14 00:00:00.000,M002,200,T004
M228,Car17,2016-07-03 00:00:00.000,M001,100,T002
M229,Car20,2019-11-09 00:00:00.000,M004,400,T002
M230,Car22,2016-01-09 00:00:00.000,M003,300,T001
M231,Car14,2017-04-15 00:00:00.000,M003,300,T002
M232,Car14,2020-09-06 00:00:00.000,M005,500,T003
M233,Car10,2020-01-11 00:00:00.000,M005,500,T003
M234,Car19,2016-05-07 00:00:00.000,M001,100,T005
M235,Car30,2016-05-07 00:00:00.000,M002,200,T004
M236,Car27,2015-09-13 00:00:00.000,M001,100,T004
M237,Car09,2017-08-26 00:00:00.000,M005,500,T003
M238,Car18,2015-02-28 00:00:00.000,M002,200,T003
M239,Car22,2016-02-07 00:00:00.000,M002,200,T001
M240,Car17,2019-04-20 00:00:00.000,M005,500,T002
M241,Car13,2019-05-04 00:00:00.000,M003,300,T001
M242,Car12,2016-12-11 00:00:00.000,M001,100,T001
M243,Car20,2020-06-07 00:00:00.000,M001,100,T004
M244,Car07,2018-11-10 00:00:00.000,M004,400,T004
M245,Car12,2017-05-06 00:00:00.000,M002,200,T001
M246,Car22,2017-04-02 00:00:00.000,M005,500,T001
M247,Car20,2020-04-12 00:00:00.000,M001,100,T004
M248,Car27,2021-11-21 00:00:00.000,M005,500,T004
M249,Car14,2020-03-28 00:00:00.000,M005,500,T005
M250,Car06,2015-06-28 00:00:00.000,M005,500,T003
M251,Car27,2018-07-08 00:00:00.000,M005,500,T004
M252,Car09,2021-04-11 00:00:00.000,M005,500,T002
M253,Car12,2017-07-29 00:00:00.000,M005,500,T001
M254,Car27,2015-07-19 00:00:00.000,M004,400,T001
M255,Car24,2019-04-21 00:00:00.000,M004,400,T003
M256,Car20,2017-07-02 00:00:00.000,M005,500,T005
M257,Car15,2019-12-08 00:00:00.000,M004,400,T004
M258,Car16,2016-10-16 00:00:00.000,M002,200,T005
M259,Car17,2015-04-04 00:00:00.000,M002,200,T005
M260,Car29,2015-12-06 00:00:00.000,M001,100,T001
M261,Car30,2019-08-03 00:00:00.000,M003,300,T001
M262,Car25,2015-03-15 00:00:00.000,M001,100,T001
M263,Car30,2018-09-08 00:00:00.000,M003,300,T002
M264,Car09,2020-03-28 00:00:00.000,M002,200,T001
M265,Car04,2016-10-30 00:00:00.000,M003,300,T001
M266,Car11,2018-06-23 00:00:00.000,M003,300,T002
M267,Car29,2017-11-19 00:00:00.000,M005,500,T005
M268,Car05,2015-09-13 00:00:00.000,M004,400,T004
M269,Car09,2018-12-22 00:00:00.000,M004,400,T001
M270,Car14,2015-05-31 00:00:00.000,M003,300,T001
M271,Car19,2017-04-02 00:00:00.000,M002,200,T005
M272,Car11,2015-12-05 00:00:00.000,M004,400,T004
M273,Car28,2017-12-10 00:00:00.000,M003,300,T005
M274,Car23,2019-06-16 00:00:00.000,M002,200,T003
M275,Car16,2021-05-16 00:00:00.000,M005,500,T005
M276,Car15,2015-05-31 00:00:00.000,M004,400,T005
M277,Car24,2019-05-11 00:00:00.000,M004,400,T003
M278,Car09,2018-07-29 00:00:00.000,M003,300,T005
M279,Car02,2020-10-25 00:00:00.000,M003,300,T004
M280,Car18,2017-06-24 00:00:00.000,M002,200,T005
M281,Car19,2019-04-28 00:00:00.000,M002,200,T001
M282,Car11,2016-10-23 00:00:00.000,M005,500,T005
M283,Car19,2018-12-30 00:00:00.000,M005,500,T005
M284,Car09,2018-10-21 00:00:00.000,M001,100,T003
M285,Car23,2021-10-03 00:00:00.000,M001,100,T002
M286,Car28,2019-01-12 00:00:00.000,M003,300,T004
M287,Car23,2020-06-20 00:00:00.000,M005,500,T005
M288,Car19,2016-10-08 00:00:00.000,M003,300,T001
M289,Car27,2017-12-10 00:00:00.000,M001,100,T002
M290,Car10,2021-06-26 00:00:00.000,M005,500,T001
M291,Car17,2020-01-12 00:00:00.000,M004,400,T005
M292,Car28,2016-06-18 00:00:00.000,M005,500,T002
M293,Car24,2017-01-07 00:00:00.000,M002,200,T004
M294,Car26,2019-03-30 00:00:00.000,M001,100,T004
M295,Car05,2015-08-30 00:00:00.000,M002,200,T002
M296,Car03,2020-12-19 00:00:00.000,M002,200,T003
M297,Car21,2020-01-04 00:00:00.000,M004,400,T004
M298,Car04,2016-05-22 00:00:00.000,M002,200,T005
M299,Car08,2019-07-07 00:00:00.000,M004,400,T001
M300,Car20,2015-07-04 00:00:00.000,M004,400,T003
M301,Car26,2016-11-06 00:00:00.000,M004,400,T002
M302,Car26,2017-03-18 00:00:00.000,M003,300,T002
M303,Car08,2021-12-12 00:00:00.000,M001,100,T002
M304,Car07,2016-02-21 00:00:00.000,M003,300,T003
M305,Car01,2015-09-05 00:00:00.000,M001,100,T001
M306,Car02,2016-05-21 00:00:00.000,M001,100,T004
M307,Car09,2015-08-09 00:00:00.000,M004,400,T003
M308,Car06,2020-09-26 00:00:00.000,M001,100,T005
M309,Car19,2015-01-10 00:00:00.000,M001,100,T005
M310,Car24,2017-04-09 00:00:00.000,M005,500,T001
M311,Car03,2015-10-04 00:00:00.000,M004,400,T005
M312,Car25,2018-10-27 00:00:00.000,M001,100,T003
M313,Car12,2020-11-15 00:00:00.000,M002,200,T001
M314,Car18,2021-08-21 00:00:00.000,M001,100,T001
M315,Car16,2015-01-10 00:00:00.000,M001,100,T004
M316,Car09,2019-10-05 00:00:00.000,M005,500,T001
M317,Car11,2018-03-17 00:00:00.000,M005,500,T005
M318,Car22,2018-02-24 00:00:00.000,M002,200,T004
M319,Car07,2020-05-02 00:00:00.000,M002,200,T001
M320,Car22,2019-09-14 00:00:00.000,M002,200,T004
M321,Car16,2016-09-03 00:00:00.000,M003,300,T004
M322,Car12,2017-05-14 00:00:00.000,M005,500,T001
M323,Car23,2020-12-05 00:00:00.000,M003,300,T001
M324,Car04,2021-06-12 00:00:00.000,M003,300,T003
M325,Car04,2018-08-12 00:00:00.000,M003,300,T003
M326,Car03,2020-12-13 00:00:00.000,M003,300,T003
M327,Car04,2021-04-17 00:00:00.000,M001,100,T001
M328,Car19,2017-02-18 00:00:00.000,M004,400,T001
M329,Car20,2018-08-12 00:00:00.000,M005,500,T004
M330,Car04,2016-02-28 00:00:00.000,M004,400,T005
M331,Car26,2018-03-11 00:00:00.000,M001,100,T003
M332,Car23,2018-06-17 00:00:00.000,M001,100,T001
M333,Car05,2017-06-18 00:00:00.000,M003,300,T003
M334,Car23,2019-03-16 00:00:00.000,M004,400,T002
M335,Car10,2019-04-13 00:00:00.000,M004,400,T003
M336,Car24,2015-05-09 00:00:00.000,M004,400,T005
M337,Car15,2020-11-28 00:00:00.000,M004,400,T001
M338,Car30,2015-09-12 00:00:00.000,M004,400,T003
M339,Car05,2016-07-23 00:00:00.000,M001,100,T003
M340,Car09,2017-04-02 00:00:00.000,M002,200,T005
M341,Car01,2018-09-30 00:00:00.000,M003,300,T004
M342,Car27,2017-11-26 00:00:00.000,M005,500,T003
M343,Car27,2015-09-26 00:00:00.000,M004,400,T004
M344,Car15,2017-04-02 00:00:00.000,M004,400,T004
M345,Car22,2019-07-07 00:00:00.000,M004,400,T005
M346,Car12,2019-11-03 00:00:00.000,M005,500,T001
M347,Car26,2017-09-09 00:00:00.000,M005,500,T002
M348,Car22,2018-10-20 00:00:00.000,M004,400,T002
M349,Car26,2020-02-09 00:00:00.000,M001,100,T001
M350,Car02,2015-08-29 00:00:00.000,M003,300,T005
M351,Car06,2021-06-06 00:00:00.000,M005,500,T005
M352,Car10,2020-11-07 00:00:00.000,M004,400,T004
M353,Car08,2018-04-08 00:00:00.000,M002,200,T004
M354,Car13,2019-03-31 00:00:00.000,M004,400,T002
M355,Car03,2020-02-29 00:00:00.000,M004,400,T001
M356,Car10,2020-10-10 00:00:00.000,M003,300,T005
M357,Car02,2018-05-19 00:00:00.000,M003,300,T003
M358,Car07,2015-11-01 00:00:00.000,M001,100,T004
M359,Car23,2018-05-05 00:00:00.000,M004,400,T002
M360,Car25,2019-11-24 00:00:00.000,M002,200,T003
M361,Car07,2019-02-16 00:00:00.000,M001,100,T001
M362,Car22,2020-11-29 00:00:00.000,M004,400,T002
M363,Car08,2016-03-27 00:00:00.000,M002,200,T001
M364,Car12,2021-06-20 00:00:00.000,M005,500,T005
M365,Car12,2017-12-17 00:00:00.000,M005,500,T003
M366,Car15,2017-06-24 00:00:00.000,M002,200,T004
M367,Car25,2019-05-25 00:00:00.000,M004,400,T001
M368,Car26,2016-05-21 00:00:00.000,M002,200,T004
M369,Car20,2020-08-16 00:00:00.000,M001,100,T001
M370,Car15,2016-04-10 00:00:00.000,M001,100,T001
M371,Car26,2019-04-27 00:00:00.000,M002,200,T003
M372,Car03,2021-01-16 00:00:00.000,M001,100,T001
M373,Car20,2021-05-01 00:00:00.000,M001,100,T002
M374,Car25,2017-08-13 00:00:00.000,M003,300,T001
M375,Car27,2020-08-16 00:00:00.000,M005,500,T003
M376,Car02,2021-10-30 00:00:00.000,M003,300,T001
M377,Car28,2020-12-26 00:00:00.000,M005,500,T004
M378,Car27,2020-05-02 00:00:00.000,M003,300,T004
M379,Car21,2017-09-10 00:00:00.000,M003,300,T003
M380,Car06,2017-07-09 00:00:00.000,M002,200,T001
M381,Car30,2020-03-22 00:00:00.000,M001,100,T002
M382,Car08,2019-01-19 00:00:00.000,M004,400,T001
M383,Car24,2017-04-16 00:00:00.000,M004,400,T001
M384,Car10,2015-10-24 00:00:00.000,M002,200,T002
M385,Car01,2020-07-25 00:00:00.000,M005,500,T004
M386,Car20,2021-06-06 00:00:00.000,M001,100,T003
M387,Car27,2017-08-06 00:00:00.000,M002,200,T001
M388,Car05,2020-08-16 00:00:00.000,M004,400,T001
M389,Car05,2018-11-18 00:00:00.000,M003,300,T003
M390,Car29,2018-11-11 00:00:00.000,M002,200,T005
M391,Car30,2020-05-09 00:00:00.000,M003,300,T004
M392,Car22,2016-12-25 00:00:00.000,M001,100,T003
M393,Car30,2016-07-24 00:00:00.000,M001,100,T004
M394,Car16,2015-11-15 00:00:00.000,M004,400,T004
M395,Car27,2017-04-30 00:00:00.000,M005,500,T005
M396,Car05,2016-08-13 00:00:00.000,M003,300,T001
M397,Car05,2021-05-16 00:00:00.000,M002,200,T004
M398,Car08,2019-10-27 00:00:00.000,M004,400,T002
M399,Car10,2019-04-13 00:00:00.000,M005,500,T003
M400,Car24,2018-05-20 00:00:00.000,M001,100,T005
M401,Car25,2020-02-08 00:00:00.000,M001,100,T004
M402,Car14,2019-11-23 00:00:00.000,M003,300,T003
M403,Car25,2016-09-03 00:00:00.000,M002,200,T003
M404,Car14,2019-06-01 00:00:00.000,M003,300,T004
M405,Car28,2018-02-17 00:00:00.000,M004,400,T001
M406,Car14,2019-12-29 00:00:00.000,M004,400,T002
M407,Car11,2020-10-25 00:00:00.000,M001,100,T002
M408,Car17,2020-04-19 00:00:00.000,M002,200,T001
M409,Car10,2020-08-02 00:00:00.000,M003,300,T001
M410,Car02,2021-09-12 00:00:00.000,M004,400,T004
M411,Car29,2016-04-17 00:00:00.000,M004,400,T002
M412,Car03,2020-07-04 00:00:00.000,M005,500,T005
M413,Car10,2015-05-24 00:00:00.000,M004,400,T005
M414,Car09,2016-02-13 00:00:00.000,M005,500,T005
M415,Car14,2017-07-08 00:00:00.000,M005,500,T002
M416,Car09,2015-09-26 00:00:00.000,M005,500,T002
M417,Car06,2020-03-14 00:00:00.000,M003,300,T005
M418,Car01,2020-07-26 00:00:00.000,M005,500,T004
M419,Car29,2020-02-08 00:00:00.000,M005,500,T002
M420,Car05,2019-09-28 00:00:00.000,M002,200,T003
